WKT,name,description
"POINT (123.9134188 10.3518388)",BUNZEL_A01_043,eyJpZCI6ICJCVU5aRUxfQTAxXzA0MyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9131282 10.3518996)",BUNZEL_A01_044,eyJpZCI6ICJCVU5aRUxfQTAxXzA0NCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9131235 10.3518831)",BUNZEL_A01_045,eyJpZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9130514 10.3519184)",BUNZEL_A01_046,eyJpZCI6ICJCVU5aRUxfQTAxXzA0NiIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9130478 10.3519016)",BUNZEL_A01_047,eyJpZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9128728 10.3519635)",BUNZEL_A01_048,eyJpZCI6ICJCVU5aRUxfQTAxXzA0OCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9128684 10.3519454)",BUNZEL_A01_049,eyJpZCI6ICJCVU5aRUxfQTAxXzA0OSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9128418 10.3522307)",BUNZEL_A01_050,eyJpZCI6ICJCVU5aRUxfQTAxXzA1MCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9127989 10.3520496)",BUNZEL_A01_051,eyJpZCI6ICJCVU5aRUxfQTAxXzA1MSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9135467 10.3522788)",BUNZEL_A01_052,eyJpZCI6ICJCVU5aRUxfQTAxXzA1MiIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9135564 10.3523289)",BUNZEL_A01_053,eyJpZCI6ICJCVU5aRUxfQTAxXzA1MyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9133141 10.3521329)",BUNZEL_A01_054,eyJpZCI6ICJCVU5aRUxfQTAxXzA1NCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9133226 10.3521658)",BUNZEL_A01_055,eyJpZCI6ICJCVU5aRUxfQTAxXzA1NSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9132428 10.3521506)",BUNZEL_A01_056,eyJpZCI6ICJCVU5aRUxfQTAxXzA1NiIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9132515 10.3521833)",BUNZEL_A01_057,eyJpZCI6ICJCVU5aRUxfQTAxXzA1NyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
