WKT,name,description
"LINESTRING (123.9133834 10.3522756, 123.9133807 10.3522673)",024_023,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyNCIsICJjb3N0X21ldGVycyI6IDEsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMX0=
"LINESTRING (123.912878 10.352386, 123.9128841 10.3524113)",012_038,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.913037 10.352357, 123.913035 10.352349)",015_016,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNSIsICJjb3N0X21ldGVycyI6IDEsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMX0=
"LINESTRING (123.9128539 10.3524182, 123.9128841 10.3524113)",039_038,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOSIsICJjb3N0X21ldGVycyI6IDMsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogM30=
"LINESTRING (123.9128841 10.3524113, 123.912888 10.352426)",037_038,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAzNyIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.912878 10.352386, 123.912852 10.352278)",012_013,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJjb3N0X21ldGVycyI6IDEyLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDEyfQ==
"LINESTRING (123.912852 10.352278, 123.9128208 10.3522851)",040_013,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxMyIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.9128418 10.3522307, 123.9127989 10.3520496)",050_051,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MSIsICJjb3N0X21ldGVycyI6IDIxLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDIxfQ==
"LINESTRING (123.9127864 10.3519997, 123.9127989 10.3520496)",051_014,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1MSIsICJjb3N0X21ldGVycyI6IDYsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNn0=
"LINESTRING (123.9127864 10.3519997, 123.9127529 10.3520077)",014_041,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAxNCIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0MSIsICJjb3N0X21ldGVycyI6IDQsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogNH0=
"LINESTRING (123.913413 10.351813, 123.9131235 10.3518831)",009_045,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAwOSIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJjb3N0X21ldGVycyI6IDMzLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDMzfQ==
"LINESTRING (123.9130478 10.3519016, 123.9131235 10.3518831)",047_045,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NSIsICJjb3N0X21ldGVycyI6IDksICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogOX0=
"LINESTRING (123.9128684 10.3519454, 123.9130478 10.3519016)",047_049,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0OSIsICJjb3N0X21ldGVycyI6IDIwLCAicmV2ZXJzZV9jb3N0X21ldGVycyI6IDIwfQ==
"LINESTRING (123.9130478 10.3519016, 123.9130514 10.3519184)",046_047,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NyIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA0NiIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
"LINESTRING (123.913301 10.352172, 123.9133226 10.3521658)",022_055,eyJzb3VyY2Vfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzAyMiIsICJ0YXJnZXRfbm9kZV9pZCI6ICJCVU5aRUxfQTAxXzA1NSIsICJjb3N0X21ldGVycyI6IDIsICJyZXZlcnNlX2Nvc3RfbWV0ZXJzIjogMn0=
